0:38.044,13696,V
1:20.489,28976,V
1:22.047,29537,V
1:26.781,31241,V
1:28.397,31823,V
1:29.900,32364,V
1:31.381,32897,V
1:53.058,40701,V
2:40.733,57864,V
2:42.339,58442,N
3:01.558,65361,N
3:02.108,65559,V
3:07.106,67358,N
3:07.814,67613,N
3:08.344,67804,V
3:26.647,74393,N
3:27.253,74611,V
3:30.333,75720,V
3:56.956,85304,V
3:58.578,85888,V
4:19.256,93332,V
4:20.806,93890,V
4:22.503,94501,N
4:23.297,94787,N
4:24.083,95070,N
4:25.633,95628,N
4:26.136,95809,V
4:53.789,105764,V
4:55.300,106308,V
4:56.836,106861,V
4:59.200,107712,V
5:13.011,112684,V
5:14.600,113256,V
5:49.589,125852,V
5:51.369,126493,V
6:14.803,134929,V
6:16.458,135525,V
6:16.925,135693,V
6:27.633,139548,V
6:50.236,147685,V
6:51.858,148269,V
6:53.461,148846,V
6:54.989,149396,V
6:55.444,149560,V
7:10.661,155038,V
7:11.117,155202,V
7:11.575,155367,V
7:15.575,156807,V
7:18.011,157684,N
7:18.769,157957,N
7:19.550,158238,N
7:23.650,159714,V
7:30.253,162091,V
7:34.389,163580,V
7:38.431,165035,V
7:38.861,165190,V
7:40.539,165794,N
7:41.347,166085,N
7:42.125,166365,N
7:43.569,166885,V
7:47.700,168372,V
7:50.944,169540,V
7:55.125,171045,N
7:56.817,171654,N
7:57.653,171955,N
8:14.250,177930,V
8:15.958,178545,N
8:31.117,184002,V
9:07.150,196974,V
9:08.789,197564,V
9:09.672,197882,N
9:11.281,198461,N
9:22.889,202640,V
9:56.147,214613,V
9:57.886,215239,V
9:59.417,215790,V
11:36.822,250856,V
11:40.783,252282,V
11:41.261,252454,V
11:44.242,253527,V
11:45.825,254097,V
11:47.392,254661,V
11:49.644,255472,V
12:00.522,259388,V
12:04.689,260888,V
12:07.111,261760,V
12:11.392,263301,V
12:16.372,265094,V
12:21.297,266867,V
12:25.092,268233,V
12:29.208,269715,V
12:30.750,270270,V
12:32.283,270822,V
12:33.906,271406,V
12:42.178,274384,V
12:51.308,277671,V
12:57.036,279733,V
13:05.378,282736,V
13:09.436,284197,V
13:11.058,284781,N
13:11.847,285065,N
13:12.583,285330,N
13:13.417,285630,N
13:14.117,285882,N
13:14.856,286148,N
13:15.661,286438,N
13:16.378,286696,N
13:17.108,286959,N
13:17.622,287144,V
13:18.386,287419,N
13:19.153,287695,N
13:19.867,287952,N
13:20.597,288215,N
13:21.353,288487,N
13:22.892,289041,N
13:23.572,289286,N
13:27.639,290750,N
13:28.403,291025,N
13:29.078,291268,N
13:29.889,291560,N
13:31.478,292132,N
13:32.153,292375,N
13:32.894,292642,N
13:33.583,292890,N
13:35.183,293466,N
13:35.942,293739,N
13:37.528,294310,N
13:38.356,294608,N
13:38.919,294811,V
13:48.108,298119,N
13:48.608,298299,V
13:50.253,298891,N
13:50.950,299142,N
13:51.708,299415,N
13:52.408,299667,N
13:53.992,300237,N
13:54.681,300485,N
13:55.197,300671,V
13:56.767,301236,V
13:58.350,301806,V
14:01.611,302980,N
14:03.264,303575,N
14:04.011,303844,N
14:04.561,304042,V
14:06.000,304560,V
14:11.850,306666,N
14:12.350,306846,V
14:13.964,307427,N
14:14.811,307732,N
14:15.558,308001,N
14:23.772,310958,V
14:25.292,311505,V
14:27.028,312130,V
14:28.600,312696,V
14:39.614,316661,N
14:40.378,316936,N
14:43.650,318114,N
14:44.403,318385,N
14:45.211,318676,N
14:46.044,318976,N
14:47.694,319570,N
14:48.194,319750,V
14:48.972,320030,N
14:49.783,320322,N
14:50.347,320525,V
14:56.144,322612,V
14:57.103,322957,N
14:58.772,323558,N
15:01.900,324684,V
15:04.297,325547,V
15:05.108,325839,N
15:07.436,326677,N
15:08.097,326915,N
15:08.936,327217,N
15:09.725,327501,N
15:10.447,327761,N
15:11.975,328311,N
15:12.564,328523,V
15:14.164,329099,N
15:15.033,329412,N
15:16.717,330018,N
15:17.458,330285,N
15:17.950,330462,V
15:22.775,332199,V
15:23.558,332481,N
15:25.094,333034,N
15:25.800,333288,N
15:26.642,333591,N
15:28.369,334213,N
15:29.144,334492,N
15:29.844,334744,N
15:30.347,334925,V
15:31.978,335512,N
15:32.658,335757,N
15:33.383,336018,N
15:34.133,336288,N
15:34.892,336561,N
15:35.536,336793,N
15:36.214,337037,N
15:36.875,337275,N
15:38.478,337852,N
15:39.053,338059,V
15:39.867,338352,N
15:40.600,338616,N
15:41.258,338853,N
15:42.556,339320,V
15:43.356,339608,N
15:43.894,339802,V
15:45.683,340446,N
15:46.378,340696,N
15:47.117,340962,N
15:47.822,341216,N
15:51.142,342411,N
15:51.919,342691,N
15:52.664,342959,N
15:53.461,343246,N
15:54.167,343500,N
15:55.742,344067,N
15:58.339,345002,N
15:58.878,345196,V
16:03.725,346941,V
16:04.183,347106,V
16:05.814,347693,N
16:06.478,347932,N
16:07.206,348194,N
16:07.958,348465,N
16:08.731,348743,N
16:09.511,349024,N
16:10.344,349324,N
16:11.028,349570,N
16:11.681,349805,N
16:15.047,351017,N
16:15.764,351275,N
16:18.153,352135,N
16:18.858,352389,N
16:19.400,352584,V
16:20.975,353151,N
16:21.700,353412,N
16:22.425,353673,N
16:23.147,353933,N
16:23.839,354182,N
16:24.494,354418,N
16:25.222,354680,N
16:25.911,354928,N
16:26.692,355209,N
16:29.983,356394,N
16:30.633,356628,N
16:31.303,356869,N
16:32.022,357128,N
16:32.742,357387,N
16:33.553,357679,N
16:34.281,357941,N
16:34.906,358166,N
16:35.542,358395,N
16:37.050,358938,N
16:37.561,359122,V
16:38.378,359416,N
16:38.975,359631,V
16:41.561,360562,N
16:42.278,360820,N
16:42.894,361042,N
16:43.586,361291,N
16:44.339,361562,N
16:45.306,361910,N
16:45.853,362107,V
16:46.653,362395,N
16:47.317,362634,N
16:48.122,362924,N
16:48.800,363168,N
16:49.456,363404,N
16:50.103,363637,N
16:50.956,363944,N
16:51.772,364238,N
16:52.339,364442,V
16:53.981,365033,N
16:54.622,365264,N
16:55.281,365501,N
16:55.953,365743,N
16:56.544,365956,V
16:57.406,366266,N
16:58.208,366555,N
16:58.956,366824,N
17:01.286,367663,N
17:01.817,367854,V
17:02.306,368030,V
17:03.192,368349,N
17:03.878,368596,N
17:07.114,369761,N
17:07.792,370005,V
17:08.208,370155,V
17:09.792,370725,V
17:10.511,370984,N
17:11.175,371223,N
17:11.683,371406,V
17:12.400,371664,N
17:13.922,372212,N
17:14.789,372524,N
17:15.358,372729,V
17:16.947,373301,N
17:17.428,373474,V
17:18.978,374032,N
17:19.736,374305,N
17:21.128,374806,V
17:23.561,375682,V
17:25.147,376253,N
17:25.872,376514,N
17:26.636,376789,N
17:30.669,378241,N
17:31.350,378486,N
17:32.047,378737,N
17:32.736,378985,V
17:38.439,381038,N
17:39.203,381313,N
17:39.903,381565,N
17:41.483,382134,N
17:42.203,382393,N
17:42.875,382635,N
17:43.625,382905,N
17:44.386,383179,N
17:45.242,383487,N
17:45.800,383688,V
17:48.894,384802,V
17:50.556,385400,N
17:51.372,385694,N
17:53.006,386282,N
17:53.675,386523,N
18:03.594,390094,V
18:05.142,390651,V
18:06.647,391193,N
18:07.358,391449,N
18:08.169,391741,N
18:11.519,392947,N
18:12.256,393212,N
18:12.747,393389,V
18:14.150,393894,V
18:16.772,394838,N
18:17.306,395030,V
18:27.375,398655,N
19:23.197,418751,N
19:58.628,431506,N
20:00.206,432074,N
20:00.925,432333,N
20:01.661,432598,N
20:07.594,434734,N
20:45.022,448208,N
20:45.578,448408,V
20:53.111,451120,N
21:12.367,458052,N
21:13.153,458335,N
21:13.694,458530,V
21:15.489,459176,N
22:24.800,484128,N
22:25.578,484408,N
22:26.114,484601,V
22:26.586,484771,V
22:28.200,485352,N
22:28.833,485580,N
22:29.511,485824,N
22:30.144,486052,N
22:30.811,486292,N
22:31.397,486503,N
22:32.031,486731,N
22:32.728,486982,N
22:33.450,487242,N
22:34.119,487483,N
22:34.764,487715,N
22:35.403,487945,N
22:36.047,488177,N
22:36.744,488428,N
22:37.453,488683,N
22:38.047,488897,V
22:39.694,489490,N
22:40.403,489745,N
22:41.144,490012,N
22:41.853,490267,N
22:42.497,490499,N
22:43.131,490727,N
22:44.822,491336,N
23:19.375,503775,N
23:19.933,503976,V
23:21.550,504558,V
23:23.033,505092,V
24:04.983,520194,V
24:06.533,520752,V
24:11.631,522587,V
24:16.617,524382,V
24:20.636,525829,V
24:25.525,527589,V
24:29.611,529060,V
24:34.581,530849,V
24:38.586,532291,V
24:43.472,534050,V
24:52.761,537394,V
24:57.719,539179,V
25:02.614,540941,V
25:06.678,542404,V
25:11.736,544225,V
25:16.686,546007,V
25:21.569,547765,V
25:26.408,549507,V
25:31.283,551262,V
25:36.203,553033,V
25:40.283,554502,V
27:06.997,585719,V
27:51.522,601748,V
27:53.058,602301,V
